# provenance: auROC_PR.VAL.txt joined to Oberstaller et al. 2021 mmc1.xlsx Supplementary Table 1 (PMC8187163); 152 of 167 genes matched
gene,genome_evidence_score,transcriptome_evidence_score,functional_score,total_combined_score,valid_auc,valid_aupr,test_auc,test_aupr
PF3D7_1227700,2,1,1,4,0.590243607324353,0.538621854703275,0.532542372881356,0.731292665214234
PF3D7_0715800,1,0,0,1,0.586311204323627,0.536516674837196,0.62638418079096,0.776380593964293
PF3D7_0606000,2,0,3,5,0.567193675889328,0.52975259327874,0.646045197740113,0.783780642917797
PF3D7_1303500,2,1,0,3,0.548358473824312,0.546290735366956,0.64090395480226,0.794438729476438
PF3D7_1036800,1,1,1,3,0.556283778333468,0.529408937549832,0.588531073446328,0.766798577884104
PF3D7_0936700,3,2,1,6,0.551968218117286,0.529770595581854,0.586158192090395,0.755122516668359
PF3D7_1467400,2,0,0,2,0.555134306687102,0.520925678902703,0.562881355932203,0.745809409888357
PF3D7_1238800,1,0,1,2,0.543478260869565,0.511627906976744,0.542372881355932,0.735294117647059
PF3D7_0708800,3,0,0,3,0.543377430023393,0.511577809605313,0.559322033898305,0.742574257425743
PF3D7_0508300,1,0,0,1,0.543216100669517,0.511565504631761,0.525423728813559,0.728155339805825
PF3D7_0709100,9,0,0,9,0.533475840929257,0.510256915395263,0.621864406779661,0.780906837260122
PF3D7_0918900,2,0,0,2,0.529059449866903,0.511438617475216,0.532937853107345,0.731363313389095
PF3D7_1470800,1,1,0,2,0.533858998144712,0.506429244601737,0.609887005649718,0.771133518698841
PF3D7_0321200,1,0,0,1,0.5289989513592,0.504273641649879,0.493559322033898,0.721542086099807
PF3D7_0813000,1,1,1,3,0.523917076712108,0.503411107616882,0.526158192090395,0.72802712746191
PF3D7_1137400,1,0,0,1,0.524844720496894,0.501628664495114,0.505084745762712,0.719792740525006
PF3D7_0623200,1,0,0,1,0.524844720496894,0.501628664495114,0.525423728813559,0.728155339805825
PF3D7_1107400,1,0,0,1,0.524703557312253,0.501556549097533,0.5,0.717703349282297
PF3D7_0706700,4,0,0,4,0.521597967250141,0.499968680836848,0.5,0.717703349282297
PF3D7_1409300,1,0,0,1,0.521577801080907,0.499937361673696,0.516949152542373,0.72463768115942
PF3D7_1324400,1,0,0,1,0.515527950310559,0.496774193548387,0.505084745762712,0.719792740525006
PF3D7_1452700,1,1,0,2,0.515527950310559,0.496774193548387,0.50180790960452,0.718450714666307
PF3D7_1008600,0,1,1,2,0.515527950310559,0.496774193548387,0.576271186440678,0.75
PF3D7_1462800,2,0,0,2,0.5150842945874,0.496547582856677,0.514915254237288,0.723991056040295
PF3D7_1025000,1,0,1,2,0.514620472695007,0.496891227065841,0.496327683615819,0.718317869230236
PF3D7_0708900,4,0,0,4,0.512624021940792,0.498610016181901,0.50180790960452,0.718436691906288
PF3D7_1119600,2,0,0,2,0.506312010970396,0.503448281533255,0.440677966101695,0.717703349282297
PF3D7_1219100,1,0,1,2,0.512422360248447,0.496774193548387,0.5,0.717703349282297
PF3D7_1017400,2,1,0,3,0.512200532386868,0.495980639628243,0.534858757062147,0.734858547884864
PF3D7_1138300,1,0,0,1,0.512422360248447,0.495176848874598,0.516949152542373,0.72463768115942
PF3D7_1147700,2,0,1,3,0.509135274663225,0.495105002871993,0.5,0.721153846153846
PF3D7_0505300,1,0,0,1,0.509175607001694,0.494330362999194,0.525762711864407,0.728657004830918
PF3D7_0403500,0,1,0,1,0.509316770186335,0.493589743589744,0.516949152542373,0.72463768115942
PF3D7_1406900,1,0,0,1,0.509316770186335,0.493589743589744,0.5,0.717703349282297
PF3D7_1412800,2,0,0,2,0.509316770186335,0.493589743589744,0.5,0.717703349282297
PF3D7_1252600,0,0,1,1,0.50776397515528,0.49280240831965,0.535706214689265,0.732473668419473
PF3D7_0509800,1,0,1,2,0.50296442687747,0.496565078952676,0.491468926553672,0.713085661773533
PF3D7_1218300,1,1,0,2,0.506211180124224,0.492012779552716,0.5,0.717703349282297
PF3D7_0603300,1,0,0,1,0.506211180124224,0.492012779552716,0.5,0.717703349282297
PF3D7_1343600,3,1,0,4,0.494514801968218,0.501908634496494,0.480338983050847,0.725231259968102
PF3D7_0522600,1,1,0,2,0.503105590062112,0.490445859872611,0.483050847457627,0.717703349282297
PF3D7_1455200,2,0,0,2,0.503105590062112,0.490445859872611,0.508474576271186,0.721153846153846
PF3D7_0702200,3,0,1,4,0.503105590062112,0.490445859872611,0.5,0.717703349282297
PF3D7_0516500,0,0,1,1,0.5,0.488888888888889,0.503333333333333,0.719585326953748
PF3D7_0716900,1,0,0,1,0.5,0.488888888888889,0.5,0.717703349282297
PF3D7_0708700,4,0,0,4,0.5,0.488888888888889,0.525423728813559,0.728155339805825
PF3D7_0705900,2,1,1,4,0.5,0.488888888888889,0.5,0.717703349282297
PF3D7_0708600,4,1,0,5,0.5,0.488888888888889,0.5,0.717703349282297
PF3D7_0303600,1,0,0,1,0.5,0.488888888888889,0.5,0.717703349282297
PF3D7_0217100,1,1,2,4,0.5,0.488888888888889,0.508474576271186,0.721153846153846
PF3D7_1310000,2,0,0,2,0.5,0.488888888888889,0.5,0.717703349282297
PF3D7_0715500,1,0,0,1,0.5,0.488888888888889,0.5,0.717703349282297
PF3D7_0605300,2,0,0,2,0.5,0.488888888888889,0.5,0.717703349282297
PF3D7_1476700,1,1,0,2,0.5,0.488888888888889,0.5,0.717703349282297
PF3D7_1438900,0,0,1,1,0.5,0.488888888888889,0.5,0.717703349282297
PF3D7_1413500,2,0,0,2,0.5,0.488888888888889,0.513728813559322,0.723309882275691
PF3D7_1235700,1,0,0,1,0.5,0.488888888888889,0.5,0.717703349282297
PF3D7_1347500,3,0,0,3,0.5,0.488888888888889,0.5,0.717703349282297
PF3D7_1115600,1,1,1,3,0.5,0.488888888888889,0.5,0.717703349282297
PF3D7_1457200,2,0,0,2,0.5,0.488888888888889,0.508474576271186,0.721153846153846
PF3D7_1350900,3,0,0,3,0.499858836815359,0.488818352396627,0.516949152542373,0.72463768115942
PF3D7_0604700,2,0,0,2,0.493889650721949,0.493584791414373,0.514858757062147,0.722753623188406
PF3D7_0422000,1,0,0,1,0.496793579091716,0.490385013076096,0.5,0.717703349282297
PF3D7_1311300,1,0,0,1,0.497015406953295,0.488884523120192,0.458757062146893,0.71101494824405
PF3D7_0802200,1,0,0,1,0.490683229813665,0.495176848874598,0.48638418079096,0.715140882509304
PF3D7_0530200,0,0,1,1,0.496571751230136,0.487191117445894,0.503954802259887,0.719265552450366
PF3D7_0806400,1,0,1,2,0.491106719367589,0.485858585858586,0.475254237288136,0.708721804511278
PF3D7_1322700,3,0,0,3,0.481366459627329,0.495115113073186,0.449491525423729,0.712531941742468
PF3D7_1113300,1,0,1,2,0.475155279503106,0.488888888888889,0.474576271186441,0.717703349282297
PF3D7_1121700,3,1,0,4,0.472049689440994,0.487802272037941,0.432203389830508,0.717703349282297
PF3D7_0528100,1,0,0,1,0.475639267564733,0.484011319904331,0.483446327683616,0.72577524984776
PF3D7_0615500,1,0,1,2,0.475477938210857,0.483553044269002,0.469209039548023,0.717457264957265
PF3D7_0612300,2,0,0,2,0.466483826732274,0.481962481962482,0.455819209039548,0.711467304625199
PF3D7_0914400,2,0,1,3,0.453416149068323,0.488888888888889,0.491525423728814,0.717703349282297
PF3D7_1213800,1,0,0,1,0.419476486246673,0.466848098470933,0.378474576271186,0.706738859845656
PF3D7_0505500,1,1,1,3,0.366520125836896,0.44677601499548,0.28225988700565,0.642994001307515
