Gene ID	source_id	Gene Name or Symbol	Transcript Product Description	Product Description
PF3D7_1427500	PF3D7_1427500.1	MSH2-1	"DNA mismatch repair protein MSH2, putative"	"DNA mismatch repair protein MSH2, putative"
PF3D7_1435500	PF3D7_1435500.1	CLC	"clathrin light chain, putative"	"clathrin light chain, putative"
PF3D7_1447900	PF3D7_1447900.1	MDR2	multidrug resistance protein 2	multidrug resistance protein 2
PF3D7_1450700	PF3D7_1450700.1	N/A	Cwf21 domain-containing protein	Cwf21 domain-containing protein
PF3D7_1451000	PF3D7_1451000.1	N/A	"ADP-ribosylation factor, putative"	"ADP-ribosylation factor, putative"
PF3D7_1451200	PF3D7_1451200.1	N/A	"conserved Plasmodium protein, unknown function"	"conserved Plasmodium protein, unknown function"
PF3D7_1452700	PF3D7_1452700.1	N/A	"U1 snRNP-associated protein, putative"	"U1 snRNP-associated protein, putative"
PF3D7_1460500	PF3D7_1460500.1	N/A	"conserved Plasmodium protein, unknown function"	"conserved Plasmodium protein, unknown function"
PF3D7_1462800	PF3D7_1462800.1	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	glyceraldehyde-3-phosphate dehydrogenase
PF3D7_1467400	PF3D7_1467400.1	RPL22	"50S ribosomal protein L22, apicoplast, putative"	"50S ribosomal protein L22, apicoplast, putative"
PF3D7_1470800	PF3D7_1470800.1	N/A	"conserved Plasmodium protein, unknown function"	"conserved Plasmodium protein, unknown function"
PF3D7_1476100	PF3D7_1476100.1	ETRAMP14.2	early transcribed membrane protein 14.2	early transcribed membrane protein 14.2
